Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Success Hit API Reqres.in,,,,18-06-2025 10:46:03,18-06-2025 10:46:08,5.217s,PASSED
,,,,,,,
Test Cases/Success GET List Users,,,,18-06-2025 10:46:03,18-06-2025 10:46:05,2.169s,PASSED
"response = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:46:03,18-06-2025 10:46:05,1.885s,PASSED
"verifyResponseStatusCode(response, 200)",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.008s,PASSED
json = JsonSlurper().parseText(response.getResponseText()),,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.011s,PASSED
"verifyGreaterThan(data.size(), 1)",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.013s,PASSED
"verifyElementPropertyValue(response, ""page"", 1)",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.017s,PASSED
"verifyElementPropertyValue(response, ""per_page"", data.size())",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.011s,PASSED
"verifyElementPropertyValue(response, ""total"", total)",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.011s,PASSED
"verifyElementPropertyValue(response, ""total_pages"", total_pages)",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.010s,PASSED
,,,,,,,
Test Cases/Success Update Data User,,,,18-06-2025 10:46:05,18-06-2025 10:46:06,0.843s,PASSED
"response_list = sendRequestAndVerify(findTestObject(""GET - List Users""))",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.116s,PASSED
"verifyResponseStatusCode(response_list, 200)",,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.002s,PASSED
json_list = JsonSlurper().parseText(response_list.getResponseText()),,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.001s,PASSED
total_data_page = data.size(),,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.001s,PASSED
rand = new java.util.Random(),,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.003s,PASSED
randIndex = rand.nextInt(total_data_page),,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.001s,PASSED
println(randIndex),,,,18-06-2025 10:46:05,18-06-2025 10:46:05,0.005s,PASSED
